'ave	'as	'avin'	'ad	'ad
'it	'its	'ittin'	'it	'it
abear	abears	abearing	abore	aborn
abide	abides	abiding	abode	abode
aby	abys	abying	abought	abought
abye	abyes	abyeing	abought	abought
Anglicanise	Anglicanises	Anglicanising	Anglicianised	Anglicianised
appliqué	appliqués	appliquéing	appliquéd	appliquéd
aread	areads	areading	ared	ared
arize	arizes	arizing	aroze	arizen
assrun	assruns	assrunning	assran	assran
atsake	atsakes	atsaking	atsook	atsaken
awestrike	awestrikes	awestriking	awestruck	awestricken
backslide	backslides	backsliding	backslid	backslidden
bandsaw	bandsaws	bandsawing	bandsawed	bandsawn
batman	batmans	batmanned	batmanning	batmanning
bear	bears	bearing	bore	borne
beat	beats	beating	beat	beaten
becarve	becarves	becarving	becorve	becorven
beclepe	beclepes	becleping	beclept	beclept
bede	bedes	beding	bade	bode
bedream	bedreams	bedreaming	bedreamt	bedreamt
bedrite	bedrites	bedriting	bedrote	bedritten
befal	befals	befaling	befel	befalen
beget	begets	begetting	begot	begotten
begird	begirds	begirding	begirt	begirt
behew	behews	behewing	behewed	behewn
behight	behights	behighting	behight	behight
beleap	beleaps	beleaping	beleapt	beleapt
belive	belives	beliving	belove	beliven
bend	bends	bending	bent	bent
benim	benims	benimming	benam	benomen
beshear	beshears	beshearing	beshore	beshorn
beshite	beshites	beshiting	beshit	beshitten
bespit	bespits	bespitting	bespat	bespitten
besprenge	besprenges	besprenging	besprent	besprent
bestead	besteads	besteading	besteaded	bestead
bestride	bestrides	bestriding	bestrode	bestrode
bet	bets	betting	bet	bet
betide	betides	betiding	betid	betid
betread	betreads	betreading	betrod	betrodden
betwynde	betwyndes	betwynding	betwound	betwound
bewed	beweds	bewedding	bewed	bewed
bewend	bewends	bewending	bewent	bewent
bewit	bewits	bewitting	bewist	bewist
bework	beworks	beworking	bewrought	bewrought
bid	bids	bidding	bid	bid
bide	bides	biding	bode	bided
bind	binds	binding	bound	bound
bite	bites	biting	bit	bitten
bleed	bleeds	bleeding	bled	bled
bless	blesses	blessing	blest	blest
blive	blives	bliving	blove	bliven
blow	blows	blowing	blew	blown
born	borns	bornin	bornt	bornt
break	breaks	breaking	broke	broken
breed	breeds	breeding	bred	bred
bring	brings	bringing	brought	brought
build	builds	building	built	built
burst	bursts	bursting	burst	burst
buy	buys	buying	bought	bought
can	can	-	could	couth
cast	casts	casting	cast	cast
catch	catches	catching	caught	caught
chassé	chassés	chasséing	chasséd	chasséd
chide	chides	chiding	chid	chid
choose	chooses	choosing	chose	chosen
clad	clads	cladding	clad	clad
cliché	clichés	clichéing	clichéd	clichéd
cling	clings	clinging	clung	clung
clip	clips	clipping	clipt	clipt
clothe	clothes	clothing	clad	clad
come	comes	coming	came	come
concassé	concassés	concassing	concasséd	concasséd
congé	congés	congéing	conged	conged
consarn	-	-	-	consarned
cost	costs	costing	cost	cost
creep	creeps	creeping	crept	crept
cum	cums	cumming	came	came
cut	cuts	cutting	cut	cut
darf	darf	durving	durft	-
daudle	daudles	daudled	daudling	daudling
daydream	daydreams	daydreaming	daydreamt	daydreamt
de	diz	dein	did	dyun
deal	deals	dealing	dealt	dealt
dee	diz	deein	dyun	dyun
deepdraw	deepdraws	deepdrawing	deepdrawed	deepdrawn
dig	digs	digging	dug	dug
dight	dights	dighting	dight	dight
do	does	doing	did	done
downstrike	downstrikes	downstriking	downstruck	downstricken
downtrod	downtrods	downtrodding	downtrod	downtrodden
draw	draws	drawing	drew	drawn
drinck	drincks	drincking	dranck	drunck
drink	drinks	drinking	drank	drunk
drite	drites	driting	drate	dritten
drive	drives	driving	drove	driven
dwell	dwells	dwelling	dwelt	dwelt
eat	eats	eating	ate	eaten
fall	falls	falling	fell	fallen
fav	favs	faving	favd	favd
feal	feals	fealing	fale	folen
feed	feeds	feeding	fed	fed
feel	feels	feeling	felt	felt
fet	fets	fetting	fet	fet
fight	fights	fighting	fought	fought
find	finds	finding	found	found
fink		fought	fought	fought
fix	fixes	fixing	fixt	fixt
flea	fleas	fleaing	flead	flead
flee	flees	fleeing	fled	fled
fling	flings	flinging	flung	flung
fly	flies	flying	flew	flown
foind	foinds	foinding	found	found
forbid	forbids	forbidding	forbid	forbidden
forcarve	forcarves	forcarving	forcorve	forcorven
forcleave	forcleaves	forcleaving	forclove	forcloven
forelearn	forelearns	forelearning	forelearnt	forelearnt
foreshew	foreshews	foreshewing	foreshewed	foreshewn
foresmell	foresmells	foresmelling	foresmelt	foresmelt
forewit	forewot	forewitting	forewist	forewist
forget	forgets	forgetting	forgot	forgotten
forhele	forheles	forheling	forhole	forholen
forlat	forlats	forlatting	forleet	forlatten
forleet	forleets	forleeting	forleet	forleet
forlese	forleses	forlesing	forlore	forlorn
forsake	forsakes	forsaking	forsook	forsaken
forshape	forshapes	forshaping	forshope	forshapen
forswart	forswarts	forswarting	forswart	forswart
forswing	forswings	forswinging	forswang	forswungen
forswink	forswinks	forswinking	forswank	forswunken
forthbear	forthbears	forthbearing	forthbore	forthborn
forthclepe	forthclepes	forthcleping	forthclept	forthclept
forthleap	forthleaps	forthleaping	forthleapt	forthleapt
fortread	fortreads	fortreading	fortrod	fortrodden
foryield	foryields	foryielding	foryold	foryolden
freeze	freezes	freezing	froze	frozen
gan	gans	gannin	went	gone
gar	gars	garring	gart	gart
get	gets	getting	got	got
gin	gins	ginning	gan	gun
git	gitting	got	gotten	gotten
giue	giues	giuing	gaue	giuen
give	gives	giving	gave	given
gnide	gnides	gniding	gnode	gnidden
go	goes	going	went	gone
grind	grinds	grinding	ground	ground
grow	grows	growing	grew	grown
growe	growes	growing	grewe	growne
hafta	hasta	-	hadda	hadda
half	halves	halving	halved	halved
hang	hangs	hanging	hung	hung
hav	has	having	had	had
have	has	having	had	had
hea'	hea'	hearin'	heard	heard
hear	hears	hearing	heard	heard
hent	hents	henting	hent	hent
hev	hes	heving	hed	hed
hide	hides	hiding	hid	hidden
hight	-	-	hight	hight
hit	hits	hitting	hit	hit
hoit	hoits	hoiting	hoit	hoit
hold	holds	holding	held	held
hote	hotes	hoting	hight	hoten
hould	houlds	houlding	held	held
hurt	hurts	hurting	hurt	hurt
hyde	hydes	hyding	hyd	hydden
ICE	ICEs	ICEing	ICEd	ICEd
inwork	inworks	inworking	inwrought	inwrought
kape		kaping	kapt	kapt
keep	keeps	keeping	kept	kept
kek	keks	keking	kek'd	kek'd
